season,team,wp,owp
2003,1104,0.425925926,0.578091242
2003,1272,0.728,0.534358713
2003,1266,0.796610169,0.573318125
2003,1296,0.55,0.519681865
2003,1400,0.733333333,0.614907768
2003,1458,0.703125,0.554418702
2003,1161,0.431818182,0.546679628
2003,1186,0.540740741,0.509905299
2003,1194,0.115107914,0.480382102
2003,1166,0.78125,0.517151152
2003,1202,0.330708661,0.489142385
2003,1237,0.528985507,0.460469655
2003,1323,0.593220339,0.612098672
2003,1125,0.518518519,0.486152653
2003,1156,0.211678832,0.494651626
2003,1183,0.379310345,0.491065113
2003,1314,0.418604651,0.603744636
2003,1353,0.333333333,0.548426717
2003,1390,0.752066116,0.583216291
2003,1426,0.456521739,0.483454447
2003,1462,0.868217054,0.541831304
2003,1196,0.796610169,0.572637091
2003,1242,0.838095238,0.609257405
2003,1422,0.160583942,0.485071288
2003,1304,0.234782609,0.571525015
2003,1113,0.556521739,0.594053873
2003,1116,0.262711864,0.627145781
2003,1117,0.35,0.46978117
2003,1120,0.560747664,0.581957181
2003,1122,0.60483871,0.482691929
2003,1123,0.308270677,0.549535922
2003,1133,0.3,0.522047752
2003,1139,0.746376812,0.504824145
2003,1140,0.680672269,0.588317386
2003,1141,0.71641791,0.50640095
2003,1148,0.504065041,0.439835165
2003,1150,0.345588235,0.574913815
2003,1151,0.653543307,0.477485908
2003,1157,0.373239437,0.453368346
2003,1158,0.699115044,0.482934089
2003,1160,0.488372093,0.558090625
2003,1165,0.289855072,0.438083733
2003,1179,0.228346457,0.49177352
2003,1187,0.325,0.535015048
2003,1191,0.360902256,0.539128456
2003,1200,0.071428571,0.542286134
2003,1207,0.446280992,0.537998071
2003,1211,0.827586207,0.527511766
2003,1217,0.448818898,0.499130385
2003,1218,0.446969697,0.524991222
2003,1219,0.203125,0.426256221
2003,1232,0.119047619,0.524553669
2003,1241,0.398373984,0.471307019
2003,1247,0.360902256,0.511419947
2003,1250,0.443548387,0.423557334
2003,1258,0.247787611,0.493497324
2003,1261,0.563636364,0.549546642
2003,1265,0.430894309,0.510505873
2003,1267,0.392307692,0.477503017
2003,1277,0.567567568,0.595883864
2003,1281,0.547826087,0.612679382
2003,1298,0.203252033,0.471348326
2003,1301,0.508474576,0.566340903
2003,1308,0.609756098,0.459038497
2003,1317,0.181818182,0.549660059
2003,1320,0.304347826,0.469347816
2003,1321,0.324561404,0.513270875
2003,1328,0.769230769,0.616914118
2003,1329,0.643478261,0.59464416
2003,1340,0.096774194,0.492445953
2003,1343,0.5234375,0.480651438
2003,1345,0.583333333,0.586152162
2003,1348,0.551470588,0.513181993
2003,1349,0.576923077,0.497327354
2003,1350,0.515873016,0.544658706
2003,1352,0.302816901,0.438540817
2003,1365,0.444444444,0.468373041
2003,1373,0.658730159,0.473597179
2003,1375,0.362903226,0.527331923
2003,1379,0.277310924,0.526719094
2003,1382,0.404958678,0.509518318
2003,1384,0.452554745,0.44873072
2003,1394,0.340740741,0.444144465
2003,1395,0.25,0.540452753
2003,1397,0.557377049,0.542679513
2003,1403,0.571428571,0.575919554
2003,1404,0.378787879,0.475286327
2003,1412,0.428571429,0.515512657
2003,1425,0.357142857,0.56396736
2003,1427,0.305343511,0.48375219
2003,1428,0.745901639,0.580893735
2003,1435,0.24,0.607113403
2003,1436,0.59375,0.447490294
2003,1437,0.486725664,0.583784846
2003,1438,0.373015873,0.574190573
2003,1451,0.825,0.481024444
2003,1452,0.344537815,0.538741207
2003,1112,0.92248062,0.578428182
2003,1124,0.396396396,0.527286085
2003,1127,0.398550725,0.443760728
2003,1131,0.588652482,0.468641798
2003,1143,0.739495798,0.539754396
2003,1145,0.3,0.484187934
2003,1153,0.495652174,0.61031115
2003,1163,0.616,0.563841191
2003,1177,0.48,0.562563741
2003,1178,0.543307087,0.505329179
2003,1181,0.611111111,0.572203199
2003,1185,0.341666667,0.469499201
2003,1198,0.195488722,0.483001176
2003,1208,0.612068966,0.637906037
2003,1209,0.468253968,0.458042145
2003,1210,0.352459016,0.573195119
2003,1225,0.430769231,0.441044068
2003,1226,0.355932203,0.497093112
2003,1233,0.483333333,0.468157786
2003,1240,0.603053435,0.415276066
2003,1257,0.79389313,0.578446019
2003,1259,0.126984127,0.476740799
2003,1273,0.758865248,0.430096002
2003,1274,0.325396825,0.499865648
2003,1319,0.444444444,0.441365483
2003,1335,0.780487805,0.471501592
2003,1338,0.776,0.553740851
2003,1341,0.533783784,0.432308343
2003,1344,0.456,0.590512511
2003,1351,0.390977444,0.476790075
2003,1360,0.604166667,0.525590012
2003,1371,0.508474576,0.596663042
2003,1386,0.700787402,0.530057982
2003,1392,0.365853659,0.428077158
2003,1409,0.622222222,0.512210677
2003,1418,0.6484375,0.510137306
2003,1420,0.1484375,0.43772755
2003,1429,0.609756098,0.4830226
2003,1440,0.194915254,0.469014816
2003,1442,0.174242424,0.464222744
2003,1444,0.630769231,0.501858157
2003,1450,0.142857143,0.526194546
2003,1453,0.19047619,0.51340717
2003,1455,0.568,0.479374202
2003,1460,0.214285714,0.502259905
2003,1461,0.607142857,0.528582386
2003,1114,0.47008547,0.476882677
2003,1138,0.104166667,0.456692485
2003,1155,0.403508772,0.517689028
2003,1169,0.388059701,0.456848499
2003,1173,0.763358779,0.561366684
2003,1199,0.377192982,0.58055175
2003,1204,0.483870968,0.445558396
2003,1227,0.666666667,0.484749718
2003,1228,0.6,0.554533098
2003,1234,0.52,0.507045969
2003,1268,0.673076923,0.556918165
2003,1278,0.462809917,0.546327593
2003,1286,0.307692308,0.493037224
2003,1332,0.616,0.518701113
2003,1334,0.360902256,0.491018862
2003,1347,0.277108434,0.43976121
2003,1356,0.736842105,0.517404063
2003,1364,0.6,0.499842775
2003,1374,0.474452555,0.504259309
2003,1376,0.310077519,0.589871141
2003,1380,0.19379845,0.349531085
2003,1393,0.815789474,0.57491537
2003,1401,0.392857143,0.58827403
2003,1405,0.388059701,0.509391406
2003,1424,0.635036496,0.553176674
2003,1439,0.254098361,0.503061625
2003,1111,0.556451613,0.438218539
2003,1180,0.651851852,0.529271089
2003,1182,0.262773723,0.506494109
2003,1192,0.411347518,0.415641425
2003,1214,0.593984962,0.42798874
2003,1231,0.415929204,0.564024545
2003,1239,0.384615385,0.475845368
2003,1243,0.338983051,0.545800485
2003,1246,0.913793103,0.582420949
2003,1260,0.439189189,0.503428705
2003,1264,0.795454545,0.489225228
2003,1280,0.571428571,0.586679382
2003,1307,0.228813559,0.558928196
2003,1326,0.486486486,0.593521588
2003,1359,0.376811594,0.491567835
2003,1383,0.290780142,0.454161359
2003,1406,0.119402985,0.43468879
2003,1407,0.822222222,0.456278776
2003,1416,0.617021277,0.478966918
2003,1102,0.369230769,0.526162347
2003,1108,0.375838926,0.449589741
2003,1129,0.403100775,0.501012753
2003,1130,0.714285714,0.577230863
2003,1137,0.380165289,0.451940311
2003,1147,0.406504065,0.401300505
2003,1159,0.451612903,0.440396536
2003,1216,0.467741935,0.491822287
2003,1221,0.830645161,0.45558429
2003,1224,0.362318841,0.451909541
2003,1251,0.388489209,0.41796319
2003,1283,0.589147287,0.496340988
2003,1285,0.466666667,0.480090065
2003,1305,0.451388889,0.529468445
2003,1313,0.388059701,0.376741659
2003,1324,0.5,0.436905165
2003,1330,0.412698413,0.492145021
2003,1331,0.566666667,0.432002668
2003,1378,0.341269841,0.521732349
2003,1385,0.549618321,0.541612773
2003,1423,0.730496454,0.500373963
2003,1434,0.6,0.486353202
2003,1443,0.620155039,0.50801255
2003,1447,0.579617834,0.494571651
2003,1454,0.70212766,0.523702815
2003,1172,0.545454545,0.465416927
2003,1270,0.406896552,0.494932061
2003,1279,0.408,0.548261355
2003,1292,0.385826772,0.514147902
2003,1309,0.31496063,0.490493187
2003,1339,0.373134328,0.474771091
2003,1389,0.345132743,0.507032928
2003,1448,0.776,0.573515758
2003,1457,0.708661417,0.414345452
2003,1369,0.260869565,0.469233415
2003,1408,0.378787879,0.501723041
2003,1410,0.247619048,0.427979899
2003,1201,0.617647059,0.496015455
2003,1203,0.405797101,0.527275561
2003,1235,0.423728814,0.531954594
2003,1388,0.378151261,0.527497651
2003,1402,0.445255474,0.444510841
2003,1103,0.413533835,0.485494095
2003,1135,0.64084507,0.468646272
2003,1144,0.094488189,0.425123942
2003,1149,0.427480916,0.465374734
2003,1176,0.379310345,0.464117322
2003,1189,0.4,0.47838066
2003,1197,0.554744526,0.442952455
2003,1220,0.223076923,0.518768807
2003,1236,0.254901961,0.44363369
2003,1245,0.68503937,0.497085916
2003,1249,0.358208955,0.449812588
2003,1291,0.304347826,0.405540445
2003,1318,0.404958678,0.443331078
2003,1346,0.507246377,0.448244269
2003,1358,0.722222222,0.447573593
2003,1361,0.480620155,0.53995824
2003,1363,0.175572519,0.472751028
2003,1381,0.258064516,0.439404481
2003,1387,0.442622951,0.585864846
2003,1414,0.677165354,0.479622988
2003,1464,0.18115942,0.470105654
2003,1119,0.10483871,0.453330813
2003,1174,0.453846154,0.503448697
2003,1399,0.496183206,0.499903499
2003,1463,0.418604651,0.498499648
2003,1128,0.589552239,0.407927305
2003,1168,0.343283582,0.453822661
2003,1193,0.646153846,0.520267137
2003,1206,0.525547445,0.514095091
2003,1325,0.418439716,0.527052818
2003,1333,0.461538462,0.511665287
2003,1337,0.5,0.499808983
2003,1362,0.430656934,0.524545994
2003,1421,0.297297297,0.511092369
2003,1459,0.364341085,0.473941311
2003,1110,0.364864865,0.489156749
2003,1126,0.217105263,0.411996756
2003,1171,0.236220472,0.464461486
2003,1411,0.484126984,0.409867227
2003,1433,0.581967213,0.476434802
2003,1132,0.359375,0.524561565
2003,1170,0.344827586,0.464464562
2003,1184,0.2578125,0.465256839
2003,1222,0.203252033,0.525898534
2003,1275,0.409448819,0.531166724
2003,1106,0.440298507,0.453606314
2003,1154,0.136752137,0.484517563
2003,1252,0.163636364,0.402150952
2003,1310,0.544776119,0.503717036
2003,1449,0.294573643,0.541807565
2003,1162,0.078125,0.42822599
2003,1164,0.390410959,0.482964482
